Timestamp,IOPS,Compute,NetworkReq,BackupDedupeRatio,Storage,RAM,Latency,WorkloadType,DeploymentCU
2023-02-07,17588,8 vCPUs,100 Mbps,3.12131669170259,5732,8 GB,57,Application,Medium
2023-02-08,87923,4 vCPUs,100 Mbps,2.953092442012292,7655,8 GB,10,Web Server,X-Large
2023-02-09,71742,16 vCPUs,10 Gbps,1.225444416130105,429,64 GB,51,Web Server,Small
2023-02-10,49150,16 vCPUs,1 Gbps,3.429743639640164,7087,8 GB,64,Database,Small
2023-02-11,84706,2 vCPUs,100 Mbps,2.147233347297544,4760,64 GB,84,Database,Medium
2023-02-12,69674,8 vCPUs,100 Mbps,3.3832177417605918,997,32 GB,5,Database,Large
2023-02-13,88970,16 vCPUs,1 Gbps,1.6566665968331193,812,32 GB,11,File Storage,Small
2023-02-14,47529,8 vCPUs,1 Gbps,1.7762762741069449,3224,32 GB,52,Application,Medium
2023-02-15,30768,8 vCPUs,100 Mbps,2.701678460788567,4696,16 GB,74,Web Server,Medium
2023-02-16,63905,4 vCPUs,100 Mbps,1.822319162239186,3693,16 GB,41,File Storage,Large
2023-02-17,69041,16 vCPUs,100 Mbps,1.2019448254263805,9677,32 GB,27,Application,Medium
2023-02-18,39525,2 vCPUs,100 Mbps,1.0903301526471219,2676,8 GB,30,Web Server,X-Large
2023-02-19,75363,2 vCPUs,1 Gbps,3.8500124970546348,1708,64 GB,48,File Storage,Small
2023-02-20,33417,4 vCPUs,100 Mbps,1.4565184191768847,8953,8 GB,28,Database,Medium
2023-02-21,95287,2 vCPUs,100 Mbps,3.3750181958118253,9322,64 GB,39,Web Server,Small
2023-02-22,78664,4 vCPUs,10 Gbps,3.8887903226213796,2984,64 GB,97,Web Server,Small
2023-02-23,81637,4 vCPUs,10 Gbps,3.3931854385645543,5478,64 GB,46,File Storage,Medium
2023-02-24,58730,2 vCPUs,100 Mbps,3.675753633393374,4412,64 GB,1,Database,X-Large
2023-02-25,84906,4 vCPUs,1 Gbps,1.899801257837457,5047,64 GB,13,Web Server,Medium
2023-02-26,66485,8 vCPUs,100 Mbps,3.7788606903872037,7839,8 GB,48,File Storage,Medium
2023-02-27,37089,4 vCPUs,1 Gbps,2.350779805752429,5513,8 GB,73,Database,Medium
2023-02-28,46108,8 vCPUs,100 Mbps,2.1059922788204926,1478,8 GB,79,File Storage,Large
2023-03-01,58499,8 vCPUs,1 Gbps,3.85713215706167,8070,8 GB,52,File Storage,X-Large
2023-03-02,74342,8 vCPUs,1 Gbps,2.9551827499496035,2385,8 GB,76,Web Server,Medium
2023-03-03,93020,2 vCPUs,10 Gbps,2.0691799864143365,8676,8 GB,68,Application,Small
2023-03-04,51078,16 vCPUs,100 Mbps,3.917181204155019,8738,32 GB,28,Database,Medium
2023-03-05,61939,2 vCPUs,100 Mbps,1.3975034381676834,3725,16 GB,76,File Storage,Large
2023-03-06,91316,2 vCPUs,10 Gbps,2.81039489882612,5553,64 GB,65,Web Server,Medium
2023-03-07,91565,16 vCPUs,10 Gbps,1.2337136421872508,8403,8 GB,62,Database,Small
2023-03-08,88874,8 vCPUs,1 Gbps,1.8299849233119545,179,64 GB,66,Web Server,Large
2023-03-09,21023,4 vCPUs,100 Mbps,3.791408847257646,9561,64 GB,58,Database,Large
2023-03-10,96251,8 vCPUs,100 Mbps,2.8076160496109885,7140,16 GB,27,Application,X-Large
2023-03-11,63033,16 vCPUs,10 Gbps,2.7049984857730482,3607,64 GB,9,File Storage,Small
2023-03-12,92125,4 vCPUs,1 Gbps,3.0611838181420916,8957,16 GB,92,Web Server,Medium
2023-03-13,52002,2 vCPUs,100 Mbps,2.383309182901986,7882,64 GB,18,Database,X-Large
2023-03-14,81184,8 vCPUs,100 Mbps,2.588871716155579,8217,32 GB,27,Database,Small
2023-03-15,81678,4 vCPUs,100 Mbps,2.569168948591788,2076,16 GB,59,Web Server,X-Large
2023-03-16,93413,2 vCPUs,1 Gbps,2.8406697002632426,2731,64 GB,44,Web Server,Small
2023-03-17,90396,4 vCPUs,10 Gbps,3.805358165924572,1354,8 GB,67,File Storage,Small
2023-03-18,31120,4 vCPUs,100 Mbps,3.82603709659677,678,8 GB,43,Application,X-Large
2023-03-19,25735,8 vCPUs,100 Mbps,1.8319800359505793,5744,32 GB,87,Application,X-Large
2023-03-20,91645,2 vCPUs,10 Gbps,2.485113575194016,6172,32 GB,2,Database,X-Large
2023-03-21,97542,4 vCPUs,100 Mbps,3.9981895289130676,9018,8 GB,80,Web Server,Large
2023-03-22,41345,8 vCPUs,100 Mbps,1.9816646401561306,578,64 GB,57,Database,Medium
2023-03-23,88357,2 vCPUs,10 Gbps,1.8390841641229856,3143,8 GB,69,Application,X-Large
2023-03-24,26343,2 vCPUs,1 Gbps,1.8202790662925619,2769,16 GB,64,Application,Small
2023-03-25,16758,16 vCPUs,100 Mbps,2.8820292073333915,1085,64 GB,73,File Storage,Small
2023-03-26,53514,8 vCPUs,1 Gbps,1.48788934968657,2343,64 GB,4,Application,Medium
2023-03-27,30372,8 vCPUs,100 Mbps,1.1318437153936207,6360,64 GB,92,File Storage,Large
2023-03-28,77106,4 vCPUs,10 Gbps,3.183349073232449,894,16 GB,82,Application,Medium
2023-03-29,26454,8 vCPUs,10 Gbps,2.521452466904826,5996,16 GB,61,Database,Medium
2023-03-30,91514,16 vCPUs,10 Gbps,3.7647523544233135,3676,64 GB,25,Database,Large
2023-03-31,71146,16 vCPUs,10 Gbps,3.4331590848725377,4049,32 GB,88,File Storage,Medium
2023-04-01,86775,8 vCPUs,100 Mbps,2.08806593911543,2508,64 GB,39,Web Server,Large
2023-04-02,90062,16 vCPUs,10 Gbps,2.7147534070409924,4033,8 GB,66,Database,X-Large
2023-04-03,46295,2 vCPUs,10 Gbps,2.822254569998011,5689,8 GB,74,Web Server,Small
2023-04-04,58984,8 vCPUs,1 Gbps,1.718798857365988,2856,16 GB,24,Application,Large
2023-04-05,67388,16 vCPUs,100 Mbps,3.7978041124023365,2497,8 GB,91,Application,Small
2023-04-06,18955,8 vCPUs,10 Gbps,1.9099726489086573,2879,64 GB,18,Web Server,Large
2023-04-07,26926,2 vCPUs,10 Gbps,3.494534232979662,4995,16 GB,98,File Storage,Medium
2023-04-08,10173,16 vCPUs,1 Gbps,3.344380829092178,2968,32 GB,30,Database,Large
2023-04-09,89346,8 vCPUs,1 Gbps,1.7513498200633566,3908,32 GB,3,Web Server,Small
2023-04-10,94860,16 vCPUs,10 Gbps,2.93773725830452,8381,32 GB,6,Web Server,Medium
