src_bytes,dst_bytes,logged_in,is_guest_login,is_host_login,dst_host_count,class
309,306,1,0,0,66,normal
0,0,0,0,0,1,normal
278,7227,1,0,0,153,normal
28,0,0,0,0,255,anomaly
313,761,1,0,0,43,normal
219,1212,1,0,0,242,normal
245,9165,1,0,0,10,normal
328,2243,1,0,0,21,normal
0,0,0,0,0,23,normal
251,301,1,0,0,255,normal
2089,335,1,0,0,255,normal
0,0,0,0,0,6,normal
237,511,1,0,0,3,normal
324,431,1,0,0,107,normal
1,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
105,145,0,0,0,255,normal
218,974,1,0,0,6,normal
325,2649,1,0,0,107,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
328,275,1,0,0,255,normal
0,0,0,0,0,255,anomaly
9,138,0,0,0,195,normal
46,46,0,0,0,255,normal
1079,334,1,0,0,138,normal
45,139,0,0,0,255,normal
273,903,1,1,0,176,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
237,138,1,0,0,2,normal
225,1357,1,0,0,5,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
147,0,0,0,0,255,normal
262,1011,1,0,0,94,normal
1032,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
261,8412,1,0,0,255,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
294,1719,1,0,0,108,normal
221,981,1,0,0,50,normal
284,10352,1,0,0,11,normal
0,0,0,0,0,255,anomaly
309,16096,1,0,0,31,normal
334,0,1,0,0,6,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
214,283,1,0,0,27,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
46,78,0,0,0,255,normal
748,0,1,0,0,6,normal
0,0,0,0,0,255,anomaly
8,0,0,0,0,1,anomaly
0,0,0,0,0,255,anomaly
329,8437,1,0,0,83,normal
9,0,1,0,0,185,normal
46,128,0,0,0,255,normal
1766,0,1,0,0,255,normal
0,0,0,0,0,255,anomaly
1,0,0,0,0,255,anomaly
8,135,0,0,0,196,normal
266,529,1,0,0,94,normal
245,0,0,0,0,99,normal
295,465,1,0,0,69,normal
0,0,0,0,0,255,anomaly
228,6834,1,0,0,18,normal
1032,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,118,normal
0,0,0,0,0,255,anomaly
1,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
30,0,0,0,0,247,normal
2078,333,1,0,0,89,normal
19,0,0,0,0,201,normal
661,329,1,0,0,163,normal
28,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
1075,364,1,0,0,255,normal
223,656,1,0,0,172,normal
350,1185,1,1,0,255,anomaly
233,2470,1,0,0,32,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
201,1938,1,0,0,44,normal
271,4781,1,0,0,11,normal
14416,0,1,0,0,205,normal
227,11564,1,0,0,41,normal
0,0,0,0,0,255,anomaly
225,2445,1,0,0,255,normal
176,426,1,0,0,255,normal
0,0,0,0,0,255,anomaly
227,762,1,0,0,202,normal
855,575,1,0,0,255,normal
944,330,1,0,0,214,normal
954,326,1,0,0,28,normal
0,0,0,0,0,255,anomaly
166,34660,1,0,0,16,normal
306,2698,1,0,0,255,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
1480,0,0,0,0,2,anomaly
0,0,0,0,0,255,anomaly
313,8549,1,0,0,255,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
285,6008,1,0,0,128,normal
226,1411,1,0,0,37,normal
256,12984,1,0,0,34,normal
3740,449,1,0,0,193,normal
224,449,1,0,0,39,normal
0,0,0,0,0,255,anomaly
832,0,1,0,0,3,anomaly
0,0,0,0,0,255,anomaly
8,0,0,0,0,1,anomaly
201,169,1,0,0,29,normal
285,304,1,0,0,101,normal
0,0,0,0,0,255,anomaly
7422,0,1,0,0,255,normal
198,12884,1,0,0,2,normal
2310,328,1,0,0,255,normal
331,955,1,0,0,38,normal
65,0,0,0,0,255,normal
28,0,0,0,0,255,anomaly
45,77,0,0,0,255,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
9,142,0,0,0,235,normal
283,912,1,0,0,75,normal
221,1789,1,0,0,73,normal
18,0,0,0,0,1,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
302,1380,1,0,0,212,normal
0,0,0,0,0,255,anomaly
8,0,0,0,0,2,anomaly
0,0,0,0,0,255,anomaly
355,870,1,0,0,255,normal
8,0,0,0,0,1,anomaly
106,1468,0,0,0,117,normal
286,1423,1,0,0,64,normal
1,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
1032,0,0,0,0,255,anomaly
168,9551,1,0,0,230,normal
238,864,1,0,0,137,normal
0,0,0,0,0,255,anomaly
291,10369,1,0,0,13,normal
0,0,0,0,0,255,anomaly
749,330,1,0,0,27,normal
198,6924,1,0,0,230,normal
0,0,0,0,0,255,anomaly
167,709,1,0,0,5,normal
241,851,1,0,0,127,normal
337,3360,1,0,0,255,normal
729,328,1,0,0,106,normal
8,0,0,0,0,1,anomaly
0,0,0,0,0,255,anomaly
222,1483,1,0,0,255,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,7,normal
46,134,0,0,0,255,normal
246,2719,1,0,0,1,normal
222,771,1,0,0,45,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
279,9598,1,0,0,251,normal
226,651,1,0,0,255,normal
299,447,1,0,0,255,normal
0,0,0,0,0,94,anomaly
12,0,1,0,0,11,normal
281,1951,1,0,0,77,normal
0,0,0,0,0,255,anomaly
42,42,0,0,0,255,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
263,453,1,0,0,255,normal
1,0,0,0,0,255,anomaly
0,0,0,0,0,212,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
283,1980,1,0,0,18,normal
161,5530,1,0,0,2,normal
211,321,1,0,0,211,normal
201,1701,1,0,0,32,normal
8,0,0,0,0,4,anomaly
147,0,0,0,0,255,normal
0,0,0,0,0,255,anomaly
567,0,0,0,0,53,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
5131424,0,1,0,0,7,anomaly
320,420,1,0,0,255,normal
8,0,0,0,0,1,anomaly
0,0,0,0,0,160,normal
204,1229,1,0,0,54,normal
0,0,0,0,0,255,anomaly
10389,0,1,0,0,255,normal
0,0,0,0,0,255,anomaly
344,573,1,0,0,255,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
243,821,1,0,0,107,normal
1032,0,0,0,0,255,anomaly
8,0,0,0,0,1,anomaly
0,0,0,0,0,255,anomaly
105,146,0,0,0,255,normal
0,0,0,0,0,255,anomaly
1080,327,1,0,0,202,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
657,326,1,0,0,255,normal
0,0,0,0,0,255,anomaly
284,765,1,0,0,255,normal
261,15455,1,0,0,255,normal
317,315,1,0,0,255,normal
33,0,0,0,0,255,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
44,70,0,0,0,255,normal
215,584,1,0,0,255,normal
0,0,0,0,0,255,anomaly
332,2844,1,0,0,142,normal
978,334,1,0,0,128,normal
296,5670,1,0,0,69,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
214,9986,1,0,0,66,normal
0,0,0,0,0,255,anomaly
48,48,0,0,0,42,normal
226,1301,1,0,0,14,normal
0,0,0,0,0,255,anomaly
78,0,0,0,0,255,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,8,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,37,anomaly
0,0,0,0,0,255,anomaly
294,3327,1,0,0,57,normal
0,0,0,0,0,255,anomaly
220,1249,1,0,0,159,normal
0,0,0,0,0,255,anomaly
196,3282,1,0,0,255,normal
0,0,0,0,0,255,anomaly
327,4482,1,0,0,58,normal
0,0,0,0,0,255,anomaly
319,0,0,0,0,6,normal
1087,302,1,0,0,246,normal
210,3754,1,0,0,62,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,12,normal
234,6282,1,0,0,106,normal
8,0,0,0,0,2,anomaly
54540,8314,1,0,0,251,anomaly
237,1461,1,0,0,59,normal
0,0,0,0,0,124,anomaly
0,0,0,0,0,255,anomaly
200,955,1,0,0,250,normal
219,657,1,0,0,28,normal
284,5921,1,0,0,49,normal
0,0,0,0,0,255,anomaly
325,426,1,0,0,187,normal
0,0,0,0,0,255,anomaly
30,0,0,0,0,247,normal
335,7902,1,0,0,1,normal
36,0,0,0,0,67,normal
0,0,0,0,0,255,anomaly
43,43,0,0,0,255,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,6,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
216,1956,1,0,0,12,normal
0,0,0,0,0,255,anomaly
44,78,0,0,0,255,normal
347,8113,1,0,0,255,normal
570,280,1,0,0,126,normal
219,17540,1,0,0,36,normal
146,0,0,0,0,255,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,120,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
1,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
18,0,0,0,0,4,anomaly
0,4,0,0,0,25,normal
233,581,1,0,0,255,normal
0,0,0,0,0,255,anomaly
276,0,0,0,0,76,normal
44,139,0,0,0,255,normal
8,0,0,0,0,1,anomaly
1828,148722,1,0,0,51,normal
200,764,1,0,0,23,normal
46,46,0,0,0,255,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,135,anomaly
216,5284,1,0,0,123,normal
0,0,0,0,0,255,anomaly
234,997,1,0,0,255,normal
220,1643,1,0,0,25,normal
0,0,0,0,0,255,anomaly
105,146,0,0,0,255,normal
0,0,0,0,0,12,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
288,2881,1,0,0,14,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
1,0,0,0,0,255,anomaly
28,0,0,0,0,255,anomaly
279,494,1,0,0,255,normal
1032,0,0,0,0,255,anomaly
192,0,1,0,0,255,normal
105,1401,1,0,0,84,normal
0,0,0,0,0,27,anomaly
1330,282,1,0,0,255,normal
520,0,0,0,0,153,anomaly
0,0,0,0,0,255,anomaly
230,362,1,0,0,121,normal
44,110,0,0,0,255,normal
271,3582,1,0,0,12,normal
179,1668,1,0,0,52,normal
852,0,0,0,0,219,normal
222,310,1,0,0,170,normal
314,4137,1,0,0,255,normal
0,0,0,0,0,255,anomaly
230,6880,1,0,0,24,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
857,327,1,0,0,173,normal
234,1707,1,0,0,9,normal
1032,0,0,0,0,255,anomaly
28,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
215,6367,1,0,0,255,normal
46,46,0,0,0,255,normal
105,146,0,0,0,229,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
305,2507,1,0,0,255,normal
0,0,0,0,0,255,anomaly
336,15767,1,0,0,95,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
147,105,0,0,0,255,normal
335,1212,1,0,0,7,normal
0,0,0,0,0,255,anomaly
339,241,1,0,0,68,normal
317,3245,1,0,0,251,normal
0,0,0,0,0,255,anomaly
54540,8314,1,0,0,79,anomaly
0,0,0,0,0,255,anomaly
42,131,0,0,0,255,normal
986,368,1,0,0,76,normal
0,0,0,0,0,255,anomaly
183,0,0,0,0,255,normal
0,0,0,0,0,255,anomaly
405,23786,1,0,0,9,normal
0,0,0,0,0,255,anomaly
785,327,1,0,0,50,normal
258,4302,1,0,0,31,normal
0,0,0,0,0,255,anomaly
8,0,0,0,0,1,anomaly
318,2649,1,0,0,5,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
216,1240,1,0,0,255,normal
0,0,0,0,0,195,anomaly
291,320,1,0,0,55,normal
224,546,1,0,0,21,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
17,42,0,0,0,255,normal
0,0,0,0,0,255,anomaly
29,29,0,0,0,255,normal
105,147,0,0,0,155,normal
30,0,0,0,0,255,normal
325,12884,1,0,0,72,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,19,normal
12,0,1,0,0,75,normal
212,828,1,0,0,94,normal
240,1475,1,0,0,255,normal
292,13206,1,0,0,5,normal
172,12793,1,0,0,255,normal
0,0,0,0,0,255,anomaly
310,788,1,0,0,255,normal
44,128,0,0,0,255,normal
145,0,0,0,0,255,normal
1238,2451,1,1,0,255,anomaly
8,0,0,0,0,1,anomaly
45,45,0,0,0,255,normal
0,0,0,0,0,255,anomaly
1551,362,1,0,0,3,normal
1308,328,1,0,0,2,normal
356,1125,1,0,0,36,normal
364,6914,1,0,0,255,normal
331,776,1,0,0,255,normal
30,0,0,0,0,255,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
247,7546,1,0,0,143,normal
300,1841,1,0,0,43,normal
0,0,0,0,0,255,anomaly
355,2109,1,0,0,29,normal
0,0,0,0,0,255,anomaly
316,1260,1,0,0,255,normal
44,136,0,0,0,255,normal
1458,4152,1,1,0,158,normal
0,0,0,0,0,255,anomaly
146,105,0,0,0,255,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
1,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
146,105,0,0,0,255,normal
0,0,0,0,0,255,anomaly
13794,2966,1,0,0,170,normal
0,0,0,0,0,255,anomaly
911,325,1,0,0,18,normal
0,0,0,0,0,29,anomaly
280,3332,1,0,0,10,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
41,41,0,0,0,255,normal
10,139,0,0,0,126,normal
311,488,1,0,0,104,normal
281,1745,1,0,0,39,normal
297,1285,1,0,0,8,normal
0,0,0,0,0,255,anomaly
43,72,0,0,0,255,normal
0,0,0,0,0,255,anomaly
334,0,1,0,0,1,anomaly
8,0,0,0,0,1,anomaly
215,9399,1,0,0,79,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,43,normal
516,4,0,0,0,151,normal
0,0,0,0,0,19,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
44,44,0,0,0,101,normal
0,0,0,0,0,255,anomaly
676,328,1,0,0,119,normal
334,455,1,0,0,115,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
204,1596,1,0,0,49,normal
520,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
192,301,1,0,0,9,normal
18,0,0,0,0,1,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
256,4486,1,0,0,255,normal
64,0,0,0,0,1,normal
46,136,0,0,0,135,normal
0,0,0,0,0,255,anomaly
220,253,1,0,0,16,normal
41,117,0,0,0,255,normal
248,2313,1,0,0,23,normal
1250,2451,1,1,0,237,anomaly
0,0,0,0,0,255,anomaly
44,70,0,0,0,255,normal
209,1824,1,0,0,129,normal
5891,0,1,0,0,83,normal
8,0,0,0,0,1,anomaly
276,1767,1,0,0,29,normal
231,2304,1,0,0,255,normal
0,0,0,0,0,255,anomaly
312,422,1,0,0,255,normal
1,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
29,0,0,0,0,114,normal
13239,0,1,0,0,100,normal
0,0,0,0,0,255,anomaly
8,223,0,0,0,178,normal
0,0,0,0,0,255,anomaly
44,79,0,0,0,255,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
324,10647,1,0,0,11,normal
0,0,0,0,0,255,anomaly
18,0,0,0,0,1,anomaly
355,657,1,0,0,255,normal
1,0,0,0,0,255,anomaly
0,0,0,0,0,155,anomaly
54540,8314,1,0,0,68,anomaly
205,253,1,0,0,255,normal
0,0,0,0,0,255,anomaly
325,753,1,0,0,255,normal
0,0,0,0,0,255,anomaly
232,193,1,0,0,9,normal
886,326,1,0,0,135,normal
319,3432,1,0,0,9,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,62,anomaly
147,12141,1,0,0,12,normal
1451,330,1,0,0,110,normal
54540,8314,1,0,0,214,anomaly
235,1889,1,0,0,1,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
299,1540,1,0,0,34,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
237,241,1,0,0,234,normal
0,0,0,0,0,255,anomaly
146,105,0,0,0,255,normal
0,0,0,0,0,255,anomaly
146,105,0,0,0,255,normal
202,1923,1,0,0,21,normal
0,0,0,0,0,255,anomaly
383,0,1,0,0,37,normal
345,2254,1,0,0,26,normal
278,6546,1,0,0,7,normal
0,0,0,0,0,255,anomaly
196,16143,1,0,0,230,normal
0,0,0,0,0,255,anomaly
277,2253,1,0,0,17,normal
203,578,1,0,0,255,normal
0,0,0,0,0,179,anomaly
147,105,0,0,0,255,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,212,anomaly
367,5199,1,0,0,108,normal
0,0,0,0,0,255,anomaly
257,23051,1,0,0,53,normal
8,0,0,0,0,2,anomaly
44,44,0,0,0,255,normal
128,44,0,0,0,255,normal
254,523,1,0,0,168,normal
225,22996,1,0,0,255,normal
775,331,1,0,0,120,normal
314,266,1,0,0,255,normal
0,0,0,0,0,255,anomaly
525,335,1,0,0,67,normal
0,0,0,0,0,255,anomaly
1,0,0,0,0,255,anomaly
213,37327,1,0,0,3,normal
190,8654,1,0,0,74,normal
0,0,0,0,0,255,anomaly
28,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
1067,3081,1,1,0,254,normal
126,44,0,0,0,143,normal
333,2547,1,0,0,255,normal
0,0,0,0,0,255,anomaly
4491,0,0,0,0,63,normal
0,0,0,0,0,255,anomaly
54540,8314,1,0,0,4,anomaly
239,255,1,0,0,255,normal
0,0,0,0,0,8,normal
1258,359,1,0,0,214,normal
0,0,0,0,0,133,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,1,normal
42,65,0,0,0,255,normal
224,1270,1,0,0,255,normal
231,3215,1,0,0,41,normal
147,105,0,0,0,255,normal
44,72,0,0,0,255,normal
183,0,0,0,0,255,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
125,179,0,0,0,4,anomaly
13,40,0,0,0,100,normal
233,4759,1,0,0,133,normal
30,0,0,0,0,255,normal
0,0,0,0,0,255,anomaly
278,7958,1,0,0,3,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
237,5193,1,0,0,1,normal
301,2698,1,0,0,85,normal
246,3295,1,0,0,36,normal
230,12471,1,0,0,255,normal
46,82,0,0,0,255,normal
147,105,0,0,0,255,normal
0,0,0,0,0,255,anomaly
641,0,1,0,0,62,normal
28,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
82,1,0,0,0,1,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
46,80,0,0,0,255,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
376,345,1,0,0,190,normal
0,0,0,0,0,255,anomaly
105,146,0,0,0,255,normal
334,0,1,0,0,3,anomaly
0,0,0,0,0,255,anomaly
30,0,0,0,0,255,normal
1053,329,1,0,0,67,normal
46,130,0,0,0,255,normal
45,119,0,0,0,255,normal
1539,395,1,0,0,221,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
358,1758,1,0,0,255,normal
44,133,0,0,0,255,normal
282,1227,1,0,0,175,normal
323,1509,1,0,0,255,normal
105,105,0,0,0,114,normal
218,358,1,0,0,11,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
329,303,1,0,0,59,normal
788,328,1,0,0,45,normal
311,4591,1,0,0,21,normal
0,0,0,0,0,58,anomaly
0,0,0,0,0,255,anomaly
35,130,1,0,0,164,normal
1032,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
59,0,1,0,0,187,normal
0,0,0,0,0,255,anomaly
226,1022,1,0,0,23,normal
203,2108,1,0,0,60,normal
2544,333,1,0,0,152,normal
1032,0,0,0,0,255,anomaly
327,6721,1,0,0,255,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,3,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
54540,8314,1,0,0,118,anomaly
0,0,0,0,0,66,anomaly
0,0,0,0,0,255,anomaly
28,0,0,0,0,255,anomaly
8,0,0,0,0,1,anomaly
0,0,0,0,0,27,anomaly
0,0,0,0,0,255,anomaly
763,335,1,0,0,121,normal
0,0,0,0,0,255,anomaly
307,8339,1,0,0,5,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
236,7262,1,0,0,77,normal
246,0,1,0,0,5,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
300,13038,1,0,0,49,normal
254,390,1,0,0,176,normal
147,105,0,0,0,255,normal
0,0,0,0,0,255,anomaly
1,0,0,0,0,255,anomaly
334,0,1,0,0,8,anomaly
0,0,0,0,0,235,anomaly
1221,3380,1,1,0,255,normal
0,0,0,0,0,255,anomaly
8,0,0,0,0,2,anomaly
299,291,1,0,0,38,normal
1874,0,1,0,0,151,normal
1301,335,1,0,0,67,normal
1,0,0,0,0,255,anomaly
43,132,0,0,0,255,normal
1032,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
330,256,1,0,0,193,normal
0,0,0,0,0,255,anomaly
302,7497,1,0,0,255,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
284,307,1,0,0,255,normal
0,0,0,0,0,255,anomaly
12,0,1,0,0,137,normal
238,276,1,0,0,59,normal
1194,482,1,0,0,255,normal
6601,0,1,0,0,173,normal
12,0,1,0,0,44,normal
1452,330,1,0,0,115,normal
2194619,0,1,0,0,164,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
240,748,1,0,0,51,normal
0,0,0,0,0,255,anomaly
42,42,0,0,0,255,normal
0,0,0,0,0,255,anomaly
336,1294,1,0,0,255,normal
11436,1383,1,0,0,176,normal
0,0,0,0,0,255,anomaly
195,4768,1,0,0,168,normal
516,4,0,0,0,191,normal
286,3491,1,0,0,25,normal
0,0,0,0,0,255,anomaly
215,1062,1,0,0,6,normal
196,1337,1,0,0,255,normal
722,334,1,0,0,137,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
214,3477,1,0,0,2,normal
0,0,0,0,0,255,anomaly
232,2140,1,0,0,12,normal
224,1783,1,0,0,22,normal
8,0,0,0,0,2,anomaly
192,0,1,0,0,129,normal
294,478,1,0,0,255,normal
0,0,0,0,0,255,anomaly
213,259,1,0,0,255,normal
0,0,0,0,0,255,anomaly
105,146,0,0,0,255,normal
0,0,0,0,0,255,anomaly
303,458,1,0,0,3,normal
0,0,0,0,0,255,anomaly
44,126,0,0,0,255,normal
73,45,0,0,0,94,normal
197,2276,1,0,0,24,normal
0,0,0,0,0,53,anomaly
242,6725,1,0,0,22,normal
0,0,0,0,0,255,anomaly
308,607,1,0,0,255,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
291,868,1,0,0,255,normal
0,0,0,0,0,255,anomaly
2697,331,1,0,0,255,normal
1,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
200,3042,1,0,0,42,normal
0,0,0,0,0,255,anomaly
0,0,0,0,0,255,anomaly
